"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 07:35:24 GMT 2024","Thu Mar 07 07:35:27 GMT 2024","3363","chromium","productSearch.spec.js","Product search tests","","","Should return product results valid product",""
"passed","Thu Mar 07 07:35:17 GMT 2024","Thu Mar 07 07:35:24 GMT 2024","6219","chromium","addToCart.spec.js","Product search tests","","","Should update card on product add",""
"passed","Thu Mar 07 07:35:31 GMT 2024","Thu Mar 07 07:35:35 GMT 2024","4119","chromium","productSearch.spec.js","Product search tests","","","Should return product suggestion on valid search term",""
"passed","Thu Mar 07 07:35:27 GMT 2024","Thu Mar 07 07:35:31 GMT 2024","3742","chromium","productSearch.spec.js","Product search tests","","","Should return no result on invalid product",""
