"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 08:04:08 GMT 2024","Thu Mar 07 08:04:11 GMT 2024","3328","chromium","productSearch.spec.js","Product search tests","","","Should return product suggestion on valid search term",""
"passed","Thu Mar 07 08:03:29 GMT 2024","Thu Mar 07 08:03:32 GMT 2024","3176","chromium","productSearch.spec.js","Product search tests","","","Should return product results valid product",""
"passed","Thu Mar 07 08:03:23 GMT 2024","Thu Mar 07 08:03:29 GMT 2024","6216","chromium","addToCart.spec.js","Product search tests","","","Should update card on product add",""
"passed","Thu Mar 07 08:04:03 GMT 2024","Thu Mar 07 08:04:08 GMT 2024","5398","chromium","productSearch.spec.js","Product search tests","","","Should return no result on invalid product",""
