"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 07:59:44 GMT 2024","Thu Mar 07 07:59:48 GMT 2024","3485","chromium","productSearch.spec.js","Product search tests","","","Should return product suggestion on valid search term",""
"passed","Thu Mar 07 07:59:31 GMT 2024","Thu Mar 07 07:59:37 GMT 2024","6035","chromium","addToCart.spec.js","Product search tests","","","Should update card on product add",""
"passed","Thu Mar 07 07:59:37 GMT 2024","Thu Mar 07 07:59:40 GMT 2024","3274","chromium","productSearch.spec.js","Product search tests","","","Should return product results valid product",""
"passed","Thu Mar 07 07:59:40 GMT 2024","Thu Mar 07 07:59:44 GMT 2024","3602","chromium","productSearch.spec.js","Product search tests","","","Should return no result on invalid product",""
