"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 07 08:15:23 GMT 2024","Thu Mar 07 08:15:28 GMT 2024","4366","chromium","productSearch.spec.js","Product search tests","","","Should return product results valid product",""
"passed","Thu Mar 07 08:15:31 GMT 2024","Thu Mar 07 08:15:35 GMT 2024","3341","chromium","productSearch.spec.js","Product search tests","","","Should return product suggestion on valid search term",""
"passed","Thu Mar 07 08:15:16 GMT 2024","Thu Mar 07 08:15:23 GMT 2024","7071","chromium","addToCart.spec.js","Product search tests","","","Should update card on product add",""
"passed","Thu Mar 07 08:15:28 GMT 2024","Thu Mar 07 08:15:31 GMT 2024","3574","chromium","productSearch.spec.js","Product search tests","","","Should return no result on invalid product",""
